instancia,n,mediana,Q1,Q3,IQR,variancia,desvio,min,max
linkedin,4,0.238345,0.219808,0.316787,0.096979,0.020721,0.143949,0.204120,0.512194
netflix,11,0.436041,0.376889,0.598550,0.221661,0.042738,0.206733,0.160794,0.836951
uber,4,0.162724,0.094196,0.229454,0.135258,0.011405,0.106795,0.038241,0.280015
