arquetipo,n,mediana,Q1,Q3,IQR,variancia,desvio,min,max
google,10,0.285051,0.211100,0.587987,0.376887,0.102867,0.320728,0.060185,1.058405
apache,14,0.530354,0.415682,0.675816,0.260134,0.049678,0.222886,0.278208,0.972353
descentralizado,10,0.358028,0.231691,0.510173,0.278482,0.043276,0.208028,0.204120,0.783182
