id,nome,empresa,arquetipo,status,url,tag,commit_sha,data_commit,loc_total,loc_java,pct_java,contribuidores,idade_anos,sonar_status,sonar_project_key,notas,branch_principal,snapshot_type,subconjunto,idade_snapshot_dias
google-j2objc-11,j2objc,Google,google,ativo,https://github.com/google/j2objc,3.1,1671e9afb72a16126d448f468db3e582358fba47,2025-08-14,496443,494599,99.6,154,12.9,Passed,google-j2objc-11,,,release-tag-pre-2026,n34-v1.5,
netflix-hollow-01,hollow,Netflix,descentralizado,ativo,https://github.com/Netflix/hollow,v7.14.25,144e11093b1a4bd2c69ac69e3146bc9cd3dd5d31,2025-12-25,56720,56720,100.0,88,9.0,Passed,netflix-hollow-01,,,release-tag-pre-2026,n34-v1.5,
netflix-mantis-02,mantis,Netflix,descentralizado,ativo,https://github.com/Netflix/mantis,v4.1.0,32f543faa2b6c69b500cc10f56b83dd606787618,2025-12-16,68507,68507,100.0,51,6.4,Passed,netflix-mantis-02,,,release-tag-pre-2026,n34-v1.5,
linkedin-ambry-03,ambry,LinkedIn,descentralizado,ativo,https://github.com/linkedin/ambry,v0.4.533,398db0b6f030dbe109de6098a6791a719d2aa22a,2024-12-23,101499,101499,100.0,65,11.3,Passed,linkedin-ambry-03,substitui conductor (arquivado),,release-tag-pre-2026,n34-v1.5,
netflix-evcache-04,EVCache,Netflix,descentralizado,ativo,https://github.com/Netflix/EVCache,v5.26.0,ff34b7b9c0e8c929aefb0b8dbfbc60d0c4354b9d,2025-08-04,14114,14114,100.0,53,13.3,Passed,netflix-evcache-04,,,release-tag-pre-2026,n34-v1.5,
netflix-spectator-05,spectator,Netflix,descentralizado,ativo,https://github.com/Netflix/spectator,v1.9.2,de236ed790063cf15017ddfcd4c658580b024689,2025-11-17,22274,22274,100.0,54,11.3,Passed,netflix-spectator-05,,,release-tag-pre-2026,n34-v1.5,
netflix-eureka-06,eureka,Netflix,descentralizado,ativo,https://github.com/Netflix/eureka,v2.0.4,f4c8ed1d3f1f24d6a3aac653af489e1c2984a659,2024-10-09,23663,23663,100.0,149,23.7,Passed,netflix-eureka-06,,,release-tag-pre-2026,n34-v1.5,
uber-nullaway-01,NullAway,Uber,descentralizado,ativo,https://github.com/uber/NullAway,v0.12.15,0abf29800721002d5f9f9d67399a0f2a4d27413f,2025-12-19,17735,17735,100.0,61,8.3,Passed,uber-nullaway-01,,,release-tag-pre-2026,n34-v1.5,
uber-cadence-java-client-05,cadence-java-client,Uber,descentralizado,ativo,https://github.com/uber/cadence-java-client,v3.12.4,5fb72da3cea25f3ba787428b91171f04c4fe441b,2024-06-12,42475,42475,100.0,55,6.5,Passed,uber-cadence-java-client-05,,,release-tag-pre-2026,n34-v1.5,
linkedin-cruise-control-01,cruise-control,LinkedIn,descentralizado,ativo,https://github.com/linkedin/cruise-control,2.5.146,4b1520d1ca138dbbf27415b20a1d8b8a0bd720f8,2025-11-05,50546,50546,100.0,142,9.2,Passed,linkedin-cruise-control-01,,,release-tag-pre-2026,n34-v1.5,
linkedin-rest-li-02,rest.li,LinkedIn,descentralizado,ativo,https://github.com/linkedin/rest.li,v29.81.1,922f8b31e60f2fae01c2dff3991d337ad4d9170c,2025-11-04,198078,198078,100.0,100,13.3,Passed,linkedin-rest-li-02,substitui brooklin (>24m sem release); LinkedIn anuncia depreciacao mas repo ainda ativo,,release-tag-pre-2026,n34-v1.5,
google-conscrypt-08,conscrypt,Google,google,ativo,https://github.com/google/conscrypt,2.5.3,fd209de6167201e4f3bca5b99c6db9f08d1843c6,2024-08-17,31444,31444,100.0,100,17.2,Passed,google-conscrypt-08,substitui guice (>24m sem release); build local com BoringSSL pinado em 0ba200173 (2024-08-19) e patch -std=c++17 nos build.gradle (constants e openjdk); JNI nativo nao compila contra GCC 12 mas Java compila integralmente,,release-tag-pre-2026,n34-v1.5,
