id,nome,empresa,arquetipo,status,url,tag,commit_sha,data_commit,branch_principal,snapshot_type,subconjunto
apache-skywalking-15,skywalking,Apache,apache,ativo,https://github.com/apache/skywalking,HEAD-on-master-2026-05-24,40d95a179b0af6fab342316bce905f28918dd4ee,2026-05-24,master,head-of-main,n30-v1.6
apache-rocketmq-16,rocketmq,Apache,apache,ativo,https://github.com/apache/rocketmq,HEAD-on-develop-2026-05-24,1251c9af3ef7942178b70c8aad9b04d46cddbb39,2026-05-23,develop,head-of-main,n30-v1.6
apache-shardingsphere-17,shardingsphere,Apache,apache,ativo,https://github.com/apache/shardingsphere,HEAD-on-master-2026-05-24,cc3ab1348109451d73f978f4a4402d91205a974e,2026-05-24,master,head-of-main,n30-v1.6
apache-dolphinscheduler-20,dolphinscheduler,Apache,apache,ativo,https://github.com/apache/dolphinscheduler,HEAD-on-dev-2026-05-24,2cb705aef9b1d5c94f9618d2ebe97f2ca59014e5,2026-05-24,dev,head-of-main,n30-v1.6
apache-druid-21,druid,Apache,apache,ativo,https://github.com/apache/druid,HEAD-on-master-2026-05-24,06ef24c1e09a8000c91dd0767e09278b34066252,2026-05-23,master,head-of-main,n30-v1.6
apache-jmeter-22,jmeter,Apache,apache,ativo,https://github.com/apache/jmeter,HEAD-on-master-2026-05-24,170647bdeadfec6a903b7ac653a5bd4480989d9d,2026-04-08,master,head-of-main,n30-v1.6
apache-seatunnel-23,seatunnel,Apache,apache,ativo,https://github.com/apache/seatunnel,HEAD-on-dev-2026-05-24,1651f9f8c95fc78e6f70063914507ffb64a7cad1,2026-05-24,dev,head-of-main,n30-v1.6
apache-iceberg-24,iceberg,Apache,apache,ativo,https://github.com/apache/iceberg,HEAD-on-main-2026-05-24,75fcb8d9e3378237a6b73b1b20d507641c37a392,2026-05-24,main,head-of-main,n30-v1.6
google-bazel-12,bazel,Google,google,ativo,https://github.com/bazelbuild/bazel,HEAD-on-master-2026-05-24,fdba6e6bda1ff9423b111eb099f4f9f6e0d34115,2026-05-22,master,head-of-main,n30-v1.6
google-guice-13,guice,Google,google,ativo,https://github.com/google/guice,HEAD-on-master-2026-05-24,55a2b68ebe445b8dca3795bd3cdfc5c09d566e74,2026-04-23,master,head-of-main,n30-v1.6
google-tsunami-14,tsunami-security-scanner,Google,google,ativo,https://github.com/google/tsunami-security-scanner,HEAD-on-master-2026-05-24,f29c42aa5bc0c865d5aa15cb55c7c11072af641c,2026-04-16,master,head-of-main,n30-v1.6
